time         theta        dtheta/dt   
10.29000000  10.62434680  1.21531100  
10.32000000  10.66122742  1.24346108  
10.35000000  10.69895813  1.27197814  
10.38000000  10.73754945  1.30082953  
10.41000000  10.77701089  1.32997938  
10.44000000  10.81735081  1.35938849  
10.47000000  10.85857637  1.38901419  
10.50000000  10.90069337  1.41881033  
10.53000000  10.94370619  1.44872714  
10.56000000  10.98761767  1.47871124  
10.59000000  11.03242897  1.50870563  
10.62000000  11.07813951  1.53864970  
10.65000000  11.12474681  1.56847927  
10.68000000  11.17224644  1.59812672  
10.71000000  11.22063188  1.62752112  
10.74000000  11.26989444  1.65658840  
10.77000000  11.32002315  1.68525158  
10.80000000  11.37100470  1.71343106  
10.83000000  11.42282336  1.74104493  
10.86000000  11.47546090  1.76800939  
10.89000000  11.52889657  1.79423913  
10.92000000  11.58310704  1.81964787  
10.95000000  11.63806637  1.84414884  
10.98000000  11.69374602  1.86765536  
11.01000000  11.75011488  1.89008149  
11.04000000  11.80713926  1.91134264  
11.07000000  11.86478297  1.93135622  
11.10000000  11.92300736  1.95004241  
11.13000000  11.98177147  1.96732477  
11.16000000  12.04103208  1.98313097  
11.19000000  12.10074389  1.99739348  
11.22000000  12.16085963  2.01005022  
11.25000000  12.22133028  2.02104518  
11.28000000  12.28210523  2.03032901  
11.31000000  12.34313249  2.03785950  
11.34000000  12.40435892  2.04360211  
11.37000000  12.46573047  2.04753025  
11.40000000  12.52719240  2.04962564  
11.43000000  12.58868958  2.04987850  
11.46000000  12.65016667  2.04828766  
11.49000000  12.71156847  2.04486053  
11.52000000  12.77284010  2.03961310  
11.55000000  12.83392729  2.03256967  
11.58000000  12.89477664  2.02376266  
11.61000000  12.95533582  2.01323222  
11.64000000  13.01555381  2.00102578  
11.67000000  13.07538114  1.98719758  
11.70000000  13.13477005  1.97180811  
11.73000000  13.19367468  1.95492346  
11.76000000  13.25205122  1.93661471  
11.79000000  13.30985807  1.91695724  
11.82000000  13.36705595  1.89603002  
11.85000000  13.42360799  1.87391494  
11.88000000  13.47947981  1.85069612  
11.91000000  13.53463958  1.82645919  
11.94000000  13.58905805  1.80129069  
11.97000000  13.64270857  1.77527742  
12.00000000  13.69556711  1.74850586  
