time         theta        dtheta/dt   
2.19063545   13.83152817  3.82123080  
2.19899666   13.88529281  3.80768155  
2.20735786   13.93886509  3.79394379  
2.21571906   13.99224265  3.78005754  
2.22408027   14.04542367  3.76606283  
2.23244147   14.09840690  3.75199956  
2.24080268   14.15119167  3.73790736  
2.24916388   14.20377783  3.72382555  
2.25752508   14.25616582  3.70979293  
2.26588629   14.30835658  3.69584775  
2.27424749   14.36035163  3.68202758  
2.28260870   14.41215298  3.66836925  
2.29096990   14.46376318  3.65490874  
2.29933110   14.51518524  3.64168109  
2.30769231   14.56642271  3.62872038  
2.31605351   14.61747957  3.61605961  
2.32441472   14.66836029  3.60373068  
2.33277592   14.71906974  3.59176431  
2.34113712   14.76961327  3.58019003  
2.34949833   14.81999658  3.56903607  
2.35785953   14.87022580  3.55832941  
2.36622074   14.92030741  3.54809567  
2.37458194   14.97024826  3.53835912  
2.38294314   15.02005551  3.52914264  
2.39130435   15.06973665  3.52046771  
2.39966555   15.11929945  3.51235439  
2.40802676   15.16875196  3.50482128  
2.41638796   15.21810249  3.49788554  
2.42474916   15.26735956  3.49156287  
2.43311037   15.31653191  3.48586749  
2.44147157   15.36562849  3.48081212  
2.44983278   15.41465839  3.47640803  
2.45819398   15.46363086  3.47266496  
2.46655518   15.51255528  3.46959118  
2.47491639   15.56144114  3.46719344  
2.48327759   15.61029799  3.46547701  
2.49163880   15.65913548  3.46444565  
2.50000000   15.70796327  3.46410162  
