theta        omega       
0.76076203   1.96347422  
0.82637956   1.93949102  
0.89113932   1.91403490  
0.95500589   1.88721922  
1.01794308   1.85917944  
1.07991770   1.83004713  
1.14089956   1.79995000  
1.20086145   1.76901190  
1.25977919   1.73735279  
1.31763157   1.70508881  
1.37440041   1.67233219  
1.43007050   1.63919132  
1.48462966   1.60577073  
1.53806869   1.57217107  
1.59038139   1.53848913  
1.64156457   1.50481784  
1.69161804   1.47124625  
1.74054460   1.43785957  
1.78835006   1.40473913  
1.83504322   1.37196240  
1.88063589   1.33960297  
1.92514287   1.30773059  
1.96858197   1.27641112  
2.01097483   1.24570080  
2.05234841   1.21561390  
2.09272523   1.18617218  
2.13212738   1.15739947  
2.17057740   1.12931783  
2.20809824   1.10194757  
2.24471328   1.07530722  
2.28044630   1.04941355  
2.31532154   1.02428156  
2.34936364   0.99992450  
2.38259765   0.97635383  
2.41504907   0.95357926  
2.44674381   0.93160872  
2.47770820   0.91044840  
2.50796900   0.89010269  
2.53755339   0.87057424  
2.56648896   0.85186393  
2.59480375   0.83397086  
2.62252620   0.81689237  
2.64968517   0.80062405  
2.67630996   0.78515970  
2.70243029   0.77049138  
2.72807630   0.75660934  
2.75327853   0.74350212  
2.77806856   0.73115856  
2.80247410   0.71957531  
2.82651673   0.70874953  
2.85021813   0.69867835  
2.87360019   0.68935903  
2.89668505   0.68078897  
2.91949509   0.67296568  
2.94205294   0.66588682  
2.96438148   0.65955019  
2.98650382   0.65395368  
3.00844331   0.64909535  
3.03022357   0.64497337  
3.05186843   0.64158605  
3.07340198   0.63893182  
3.09484857   0.63700924  
3.11623275   0.63581702  
3.13757935   0.63535397  
3.15891343   0.63561905  
3.18026030   0.63661135  
3.20164550   0.63833008  
3.22309484   0.64077459  
3.24463434   0.64394436  
3.26629028   0.64783899  
3.28808918   0.65245821  
3.31005782   0.65780189  
3.33222320   0.66387004  
3.35461257   0.67066277  
3.37725343   0.67818035  
3.40017352   0.68642315  
3.42339456   0.69539117  
3.44692167   0.70509007  
3.47078130   0.71553493  
3.49500192   0.72673991  
3.51961185   0.73871772  
3.54463923   0.75147954  
3.57011204   0.76503513  
3.59605810   0.77939272  
3.62250506   0.79455908  
3.64948040   0.81053951  
3.67701143   0.82733782  
3.70512532   0.84495633  
3.73384905   0.86339589  
3.76320943   0.88265587  
3.79323314   0.90273416  
3.82394665   0.92362717  
3.85537630   0.94532983  
3.88754824   0.96783560  
3.92048847   0.99113642  
3.95422281   1.01522281  
3.98877693   1.04008376  
4.02417633   1.06570680  
4.06044634   1.09207799  
4.09761211   1.11918189  
4.13569867   1.14700160  
4.17473083   1.17551871  
4.21473327   1.20471336  
4.25573050   1.23456420  
4.29773200   1.26504536  
4.34074636   1.29611256  
4.38480186   1.32771242  
4.42992324   1.35978757  
4.47613166   1.39227659  
4.52344462   1.42511406  
4.57187605   1.45823055  
4.62143623   1.49155262  
4.67213182   1.52500281  
4.72396589   1.55849966  
4.77693788   1.59195766  
4.83104360   1.62528733  
4.88627525   1.65839516  
4.94262142   1.69118361  
5.00006709   1.72355116  
5.05859360   1.75539225  
5.11817868   1.78659731  
5.17879646   1.81705276  
5.24041743   1.84664102  
5.30300848   1.87524048  
5.36653288   1.90272552  
5.43095027   1.92896650  
5.49621668   1.95382979  
5.56228452   1.97717772  
5.62910261   1.99886862  
5.69661611   2.01875681  
5.76476658   2.03669258  
5.83349199   2.05252223  
5.90272491   2.06611018  
5.97238106   2.07749945  
6.04238228   2.08665394  
6.11265213   2.09351844  
6.18311327   2.09805188  
6.25368744   2.10022725  
6.32429549   2.10003165  
6.39485734   2.09746627  
