Tt           theta        dtheta/dt    Uw0^2/mg^2   Kw0^2/mg^2  
1.37000000   -2.38520226  -0.69805465  -1.85866512  3.82962329  
1.37500000   -2.43256367  -0.65109708  -1.87563027  3.84658844  
1.38000000   -2.47671321  -0.60657563  -1.89049791  3.86145607  
1.38500000   -2.51781914  -0.56440772  -1.90351261  3.87447077  
1.39000000   -2.55604351  -0.52449870  -1.91489359  3.88585175  
1.39500000   -2.59154135  -0.48674523  -1.92483646  3.89579463  
1.40000000   -2.62446026  -0.45103814  -1.93351517  3.90447334  
1.40500000   -2.65494000  -0.41726468  -1.94108385  3.91204202  
1.41000000   -2.68311236  -0.38531035  -1.94767869  3.91863685  
1.41500000   -2.70910106  -0.35506030  -1.95341970  3.92437786  
1.42000000   -2.73302179  -0.32640040  -1.95841239  3.92937056  
1.42500000   -2.75498226  -0.29921809  -1.96274931  3.93370748  
1.43000000   -2.77508234  -0.27340291  -1.96651142  3.93746959  
1.43500000   -2.79341425  -0.24884691  -1.96976941  3.94072758  
1.44000000   -2.81006270  -0.22544489  -1.97258483  3.94354300  
1.44500000   -2.82510513  -0.20309454  -1.97501112  3.94596929  
1.45000000   -2.83861190  -0.18169641  -1.97709452  3.94805269  
1.45500000   -2.85064646  -0.16115386  -1.97887487  3.94983304  
1.46000000   -2.86126560  -0.14137299  -1.98038633  3.95134449  
1.46500000   -2.87051958  -0.12226239  -1.98165795  3.95261612  
1.47000000   -2.87845233  -0.10373299  -1.98271425  3.95367242  
1.47500000   -2.88510161  -0.08569777  -1.98357562  3.95453378  
1.48000000   -2.89049912  -0.06807154  -1.98425870  3.95521687  
1.48500000   -2.89467064  -0.05077064  -1.98477673  3.95573490  
1.49000000   -2.89763611  -0.03371263  -1.98513974  3.95609791  
1.49500000   -2.89940973  -0.01681604  -1.98535477  3.95631293  
1.50000000   -2.90000000  -0.00000000  -1.98542598  3.95638415  
1.50500000   -2.89940973  0.01681604   -1.98535477  3.95631293  
1.51000000   -2.89763611  0.03371263   -1.98513974  3.95609791  
1.51500000   -2.89467064  0.05077064   -1.98477673  3.95573490  
1.52000000   -2.89049912  0.06807154   -1.98425870  3.95521687  
1.52500000   -2.88510161  0.08569777   -1.98357562  3.95453378  
1.53000000   -2.87845233  0.10373299   -1.98271425  3.95367242  
1.53500000   -2.87051958  0.12226239   -1.98165795  3.95261612  
1.54000000   -2.86126560  0.14137299   -1.98038633  3.95134449  
1.54500000   -2.85064646  0.16115386   -1.97887487  3.94983304  
1.55000000   -2.83861190  0.18169641   -1.97709452  3.94805269  
1.55500000   -2.82510513  0.20309454   -1.97501112  3.94596929  
1.56000000   -2.81006270  0.22544489   -1.97258483  3.94354300  
1.56500000   -2.79341425  0.24884691   -1.96976941  3.94072758  
1.57000000   -2.77508234  0.27340291   -1.96651142  3.93746959  
1.57500000   -2.75498226  0.29921809   -1.96274931  3.93370748  
1.58000000   -2.73302179  0.32640040   -1.95841239  3.92937056  
1.58500000   -2.70910106  0.35506030   -1.95341970  3.92437786  
1.59000000   -2.68311236  0.38531035   -1.94767869  3.91863685  
1.59500000   -2.65494000  0.41726468   -1.94108385  3.91204202  
1.60000000   -2.62446026  0.45103814   -1.93351517  3.90447334  
1.60500000   -2.59154135  0.48674523   -1.92483646  3.89579463  
1.61000000   -2.55604351  0.52449870   -1.91489359  3.88585175  
1.61500000   -2.51781914  0.56440772   -1.90351261  3.87447077  
1.62000000   -2.47671321  0.60657563   -1.89049791  3.86145607  
1.62500000   -2.43256367  0.65109708   -1.87563027  3.84658844  
1.63000000   -2.38520226  0.69805465   -1.85866512  3.82962329  
1.63500000   -2.33445545  0.74751465   -1.83933091  3.81028907  
1.64000000   -2.28014577  0.79952222   -1.81732786  3.78828602  
1.64500000   -2.22209347  0.85409558   -1.79232728  3.76328544  
1.65000000   -2.16011870  0.91121933   -1.76397156  3.73492972  
1.65500000   -2.09404405  0.97083697   -1.73187526  3.70283342  
1.66000000   -2.02369779  1.03284254   -1.69562750  3.66658567  
1.66500000   -1.94891760  1.09707160   -1.65479613  3.62575429  
1.67000000   -1.86955507  1.16329188   -1.60893391  3.57989208  
1.67500000   -1.78548075  1.23119378   -1.55758730  3.52854547  
1.68000000   -1.69658989  1.30038156   -1.50030801  3.47126618  
1.68500000   -1.60280882  1.37036575   -1.43666769  3.40762585  
1.69000000   -1.50410167  1.44055780   -1.36627580  3.33723396  
1.69500000   -1.40047748  1.51026803   -1.28880053  3.25975870  
1.70000000   -1.29199721  1.57870801   -1.20399225  3.17495041  
1.70500000   -1.17878045  1.64499867   -1.11170846  3.08266663  
1.71000000   -1.06101129  1.70818488   -1.01193910  2.98289726  
1.71500000   -0.93894296  1.76725747   -0.90483002  2.87578818  
1.72000000   -0.81290062  1.82118248   -0.79070266  2.76166083  
1.72500000   -0.68328189  1.86893717   -0.67006731  2.64102547  
1.73000000   -0.55055463  1.90955108   -0.54362764  2.51458581  
1.73500000   -0.41525172  1.94214982   -0.41227467  2.38323283  
1.74000000   -0.27796284  1.96599827   -0.27706886  2.24802702  
1.74500000   -0.13932321  1.98053951   -0.13921056  2.11016872  
1.75000000   -0.00000000  1.98542598   -0.00000000  1.97095817  
1.75500000   0.13932321   1.98053951   0.13921056   1.83174761  
1.76000000   0.27796284   1.96599827   0.27706886   1.69388931  
1.76500000   0.41525172   1.94214982   0.41227467   1.55868350  
1.77000000   0.55055463   1.90955108   0.54362764   1.42733052  
1.77500000   0.68328189   1.86893717   0.67006731   1.30089086  
